Image,Avg. Confidence,Response Time(s),CPU Consumption(%),Detection boxes,SKMeans_Cluster
000000472901.jpg,0.539869,0.03106,25.0,8,0
000000139096.jpg,0.394964,0.03175,30.6,2,0
000000186680.jpg,0.55357,0.03332,21.3,4,0
000000557779.jpg,0.597108,0.02991,36.7,12,0
000000474044.jpg,0.607545,0.03281,30.0,5,0
000000415092.jpg,0.581068,0.03038,28.3,6,0
000000021748.jpg,0.592082,0.03003,36.7,1,0
000000557456.jpg,0.437129,0.0262,33.3,4,0
000000158008.jpg,0.364677,0.03301,25.0,3,0
000000341803.jpg,0.593589,0.03018,33.3,5,0
000000344109.jpg,0.653747,0.0308,31.2,3,0
000000235821.jpg,0.44067,0.02862,36.2,5,0
000000168351.jpg,0.626445,0.03118,36.7,2,0
000000546916.jpg,0.558807,0.03103,40.0,3,0
000000350976.jpg,0.529784,0.03311,23.4,2,0
000000423831.jpg,0.609497,0.03636,28.6,3,1
000000185128.jpg,0.426683,0.03059,38.5,15,0
000000480350.jpg,0.610335,0.02796,27.5,12,0
000000258944.jpg,0.732722,0.03334,28.0,1,0
000000070264.jpg,0.669701,0.03447,35.6,3,0
000000218344.jpg,0.615315,0.0301,37.3,2,0
000000276920.jpg,0.46575,0.02957,36.7,2,0
000000033951.jpg,0.477248,0.03056,23.8,23,0
000000362717.jpg,0.476336,0.03144,35.8,4,0
000000371096.jpg,0.397316,0.03152,33.3,1,0
000000077157.jpg,0.795402,0.03107,38.5,2,0
000000237053.jpg,0.91305,0.03265,22.2,1,0
000000369435.jpg,0.796018,0.02928,29.8,7,0
000000074149.jpg,0.477666,0.02998,40.4,7,0
000000188714.jpg,0.632169,0.03501,37.7,2,1
000000123078.jpg,0.704011,0.03218,30.6,2,0
000000523967.jpg,0.784943,0.03037,28.9,6,0
000000095942.jpg,0.433902,0.03317,29.4,2,0
000000447683.jpg,0.329844,0.04398,36.0,4,1
000000558085.jpg,0.585055,0.03027,45.8,5,0
000000138427.jpg,0.369123,0.03178,29.4,1,0
000000498069.jpg,0.405089,0.03136,36.5,5,0
000000384820.jpg,0.5068,0.03282,38.6,4,0
