Image,Avg. Confidence,Response Time(s),CPU Consumption(%),Detection boxes,SKMeans_Cluster
000000077196.jpg,0.561291,0.05641,40.7,2,0
000000426547.jpg,0.541053,0.06412,34.7,3,0
000000136341.jpg,0.575407,0.06407,35.3,12,0
000000273813.jpg,0.461994,0.06285,47.2,1,0
000000279037.jpg,0.875451,0.06164,34.4,2,0
000000101600.jpg,0.0,0.07866,39.4,0,1
000000315655.jpg,0.788654,0.061,41.6,12,0
000000109729.jpg,0.764606,0.05963,40.0,6,0
000000239024.jpg,0.904924,0.06181,36.7,2,0
000000532138.jpg,0.53179,0.06875,38.3,3,0
000000326267.jpg,0.656651,0.07283,35.5,11,1
000000172864.jpg,0.720463,0.06828,32.0,8,0
000000380407.jpg,0.623991,0.07139,36.8,3,1
000000418153.jpg,0.575288,0.07003,44.0,11,1
000000145887.jpg,0.600708,0.08041,39.8,14,1
000000282581.jpg,0.632296,0.06889,32.3,11,0
000000179991.jpg,0.424047,0.06553,29.2,12,0
000000069760.jpg,0.492901,0.06636,35.2,3,0
000000273810.jpg,0.548094,0.08209,38.8,8,1
000000188004.jpg,0.611958,0.06141,39.0,3,0
000000257402.jpg,0.768774,0.05975,43.1,11,0
000000138438.jpg,0.559317,0.06026,39.2,8,0
000000246516.jpg,0.607787,0.06174,46.0,14,0
000000227287.jpg,0.52102,0.06429,40.5,8,0
000000222706.jpg,0.486408,0.06153,36.7,17,0
000000425236.jpg,0.715339,0.06107,35.4,4,0
000000152025.jpg,0.713016,0.0605,44.3,11,0
000000328263.jpg,0.0,0.06312,34.7,0,0
000000466228.jpg,0.652026,0.06348,37.9,5,0
000000222524.jpg,0.940325,0.0595,31.0,1,0
000000354352.jpg,0.574566,0.06256,38.8,3,0
000000382941.jpg,0.565742,0.06165,38.6,10,0
000000374648.jpg,0.449524,0.05453,44.3,3,0
000000349865.jpg,0.651409,0.064,36.2,11,0
000000405339.jpg,0.654484,0.06341,41.3,4,0
000000402274.jpg,0.0,0.06763,41.7,0,0
000000402274.jpg,0.0,0.06763,41.7,0,0
000000402274.jpg,0.0,0.06763,41.7,0,0
000000376147.jpg,0.0,0.06763,39.4,0,0
000000376147.jpg,0.0,0.06763,39.4,0,0
000000376147.jpg,0.0,0.06763,39.4,0,0
000000353450.jpg,0.0,0.06763,33.0,0,0
000000353450.jpg,0.0,0.06763,33.0,0,0
000000353450.jpg,0.0,0.06763,33.0,0,0
000000117526.jpg,0.538508,0.08312,40.3,8,1
000000184380.jpg,0.48823,0.06772,30.7,14,0
000000409506.jpg,0.509254,0.04835,29.6,22,0
000000211211.jpg,0.586653,0.052,37.3,7,0
000000138277.jpg,0.857661,0.0644,34.7,1,0
000000119179.jpg,0.638468,0.065,34.0,3,0
000000098130.jpg,0.545913,0.08191,42.9,1,1
000000534621.jpg,0.50431,0.06489,34.0,15,0
000000365680.jpg,0.532795,0.06443,36.6,8,0
000000242668.jpg,0.459254,0.06162,41.9,10,0
000000351543.jpg,0.766684,0.06733,35.6,2,0
000000058154.jpg,0.434294,0.06904,44.4,4,0
000000221302.jpg,0.577192,0.06603,44.9,7,0
000000132364.jpg,0.463634,0.07618,48.4,5,1
000000039186.jpg,0.590213,0.08408,49.3,9,1
000000538333.jpg,0.603348,0.06211,30.9,8,0
000000346998.jpg,0.0,0.06664,35.8,0,0
000000346998.jpg,0.0,0.06664,35.8,0,0
000000331811.jpg,0.0,0.06664,42.3,0,0
000000331811.jpg,0.0,0.06664,42.3,0,0
000000505747.jpg,0.38139,0.0682,37.3,2,0
000000293569.jpg,0.567173,0.05814,35.6,8,0
000000227507.jpg,0.609326,0.06284,31.5,8,0
000000035287.jpg,0.655526,0.05604,35.4,8,0
000000007586.jpg,0.481504,0.0581,40.4,15,0
000000487673.jpg,0.715497,0.06015,34.0,1,0
000000333054.jpg,0.545745,0.05821,33.0,3,0
000000361471.jpg,0.532618,0.08047,45.3,15,1
000000253735.jpg,0.438828,0.06343,35.1,7,0
000000290649.jpg,0.725051,0.05729,36.0,5,0
000000351248.jpg,0.581395,0.05802,40.0,11,0
000000406816.jpg,0.501506,0.06486,38.7,13,0
000000124024.jpg,0.71062,0.0651,42.0,3,0
000000141791.jpg,0.571328,0.06115,39.4,13,0
000000506211.jpg,0.82897,0.06394,30.9,2,0
000000263672.jpg,0.718159,0.06009,35.1,2,0
000000385976.jpg,0.59476,0.06463,41.4,10,0
000000337605.jpg,0.79574,0.05698,44.4,3,0
000000105016.jpg,0.588722,0.06901,40.5,4,0
000000135569.jpg,0.824425,0.06135,31.9,3,0
000000343365.jpg,0.479356,0.06132,32.2,4,0
000000160936.jpg,0.952108,0.07214,40.0,1,1
000000318752.jpg,0.567805,0.06572,35.0,30,0
000000145936.jpg,0.698888,0.0523,34.6,1,0
000000024930.jpg,0.848979,0.06311,41.7,2,0
000000347020.jpg,0.42141,0.08236,36.6,18,1
000000043280.jpg,0.593873,0.06221,37.8,5,0
000000207484.jpg,0.640471,0.05723,38.9,12,0
000000057874.jpg,0.676645,0.06226,37.8,4,0
000000379431.jpg,0.51981,0.05763,33.7,10,0
000000189974.jpg,0.455743,0.06473,28.3,28,0
000000524289.jpg,0.450969,0.05747,38.5,7,0
000000286960.jpg,0.701611,0.06523,40.5,2,0
000000150840.jpg,0.681524,0.06433,41.4,3,0
000000303634.jpg,0.625682,0.06784,37.4,23,0
000000026194.jpg,0.407259,0.06578,35.0,7,0
000000024235.jpg,0.70093,0.06417,32.6,13,0
000000530003.jpg,0.668473,0.06157,34.4,4,0
000000182674.jpg,0.924717,0.04219,36.8,3,0
000000342889.jpg,0.430736,0.06399,35.3,4,0
000000036975.jpg,0.706833,0.06023,40.6,13,0
000000096980.jpg,0.847933,0.07463,44.0,3,1
000000466253.jpg,0.890624,0.07567,42.6,1,1
000000418183.jpg,0.645229,0.05814,40.2,9,0
000000532258.jpg,0.799983,0.06282,34.7,2,0
